nome_repositorio;release_ant;release_ant_sha;release_ant_date;release_atu;release_atu_sha;release_atu_date;kloc_ant;kloc_atu;qtd_commits_test;qtd_commits_testing;qtd_commits_refactor_test;total_commits_teste;qtd_commits_bug;qtd_commits_fix;qtd_commits_hotfix;qtd_commits_patch;total_commit_correcao;numero_ciclo
bumptech/glide;v2.0.0;8142145086239bb8f9da4b924cfed32af24cb43b;2013-08-27T10:51:59-07:00;v4.0.0;43eb2907e96d180b76c48595836c39c2ce2ab510;2017-08-01T08:31:33-07:00;3.297;24.423;353;2;2;357;12;206;0;5;223;1
halo-dev/halo;v1.0.0;1ef1095632d369afbd5fd492efdf48a41a295e91;2019-06-01T17:36:02+08:00;v2.0.0;540cafcdbf91bd223e23eec7f4470e62de58b523;2022-11-30T17:03:51+00:00;37.419;26.883;253;1;0;254;12;195;0;4;211;1
alibaba/easyexcel;v2.0.0;0530b09c99e084e28db8adcae1d377650075d0c9;2019-09-17T22:58:02+08:00;v4.0.0;fa592214b318a443ac3ea7f48786fc65fa694ff3;2024-06-17T20:05:34+08:00;11.189;18.659;294;0;0;294;78;39;0;23;140;1
ReactiveX/RxJava;v1.0.0;af2ab03a0e2421697fdbfeb494b16f1c36d121c0;2014-11-18 06:11:59 -0800;v2.0.0;3300d19ea0c168a210bf7816503d7805ac93dc49;2016-10-29T12:42:54+02:00;20.273;74.556;479;0;0;479;20;224;1;6;251;1
ReactiveX/RxJava;v2.0.0;3300d19ea0c168a210bf7816503d7805ac93dc49;2016-10-29T12:42:54+02:00;v3.0.0;e793bc1d1a29dca18be795cf4a7628e2d44a4234;2020-02-13T18:13:56+01:00;74.556;102.212;419;0;1;420;4;239;0;0;243;2
binarywang/WxJava;1.0.0;1ec4d9b30f0bf7be11a9637b41184c7caf748d48;2014-10-15 09:45:38 +0800;v2.0.0;17c18f59aeb929f579661101955a634455433e4c;2016-07-31T12:47:53+08:00;3.446;13.536;96;0;0;96;3;17;1;2;23;1
binarywang/WxJava;v2.0.0;17c18f59aeb929f579661101955a634455433e4c;2016-07-31T12:47:53+08:00;v3.0.0;89d7beb36cd140192480df4e8f632d5c80055990;2018-03-28T20:45:17+08:00;13.536;24.173;273;0;0;273;1;48;0;3;52;2
binarywang/WxJava;v3.0.0;89d7beb36cd140192480df4e8f632d5c80055990;2018-03-28T20:45:17+08:00;v4.0.0;bf92d03529dd4021631eb6d1c50c39830389916f;2020-11-29T23:50:40+08:00;24.173;52.963;271;0;0;271;82;10;0;0;92;3
apolloconfig/apollo;v1.0.0;a3cf5b2b6d8462e37dc90f327e064964323d2a80;2018-08-09T13:07:17+08:00;v2.0.0;cb308cb7a9b08178046f747c1f02c8385eeca28c;2022-05-12T09:03:03+08:00;53.51;72.371;139;0;0;139;10;132;0;2;144;1
alibaba/nacos;1.0.0;97ddd39b644ae40adfb41adec3789bcff0f3ebed;2019-04-10T22:56:21+08:00;2.0.0;580f73e4f359da8bf8b96e951ed8928036ef6fe7;2021-03-19T15:53:10+08:00;71.566;133.991;475;1;3;479;66;456;11;4;537;1
alibaba/nacos;2.0.0;580f73e4f359da8bf8b96e951ed8928036ef6fe7;2021-03-19T15:53:10+08:00;3.0.0;350e4c5a9c9677b0f6f571094349c6ada1a5fc28;2025-04-25T17:43:38+08:00;133.991;209.395;870;0;1;871;55;493;1;2;551;2
apache/incubator-seata;v1.0.0;5bdbc44e524263a47aa51a1a2a648b120456ee5b;2019-12-21T00:59:09+08:00;v2.0.0;f43e2a9268992b161f38c4d6eccc77646cc39ff4;2023-11-24T11:51:15+08:00;58.389;209.139;365;1;0;366;341;251;0;0;592;1
google/guava;v1.0;14dd2269fa72913d92038876162babb8d9736f9b;2010-04-09T17:32:12+00:00;v2.0;f5ad01f0326405c321a4d1a7bbafb01b7d4d5074;2010-01-11T17:13:23+00:00;6.808;24.263;0;0;0;0;0;1;0;0;1;1
google/guava;v2.0;f5ad01f0326405c321a4d1a7bbafb01b7d4d5074;2010-01-11T17:13:23+00:00;v3.0;a393220268c8bfc6c81f7631a7930386942f96dd;2010-06-03T00:26:58+00:00;24.263;26.849;0;0;0;0;0;0;0;0;0;2
google/guava;v3.0;a393220268c8bfc6c81f7631a7930386942f96dd;2010-06-03T00:26:58+00:00;v4.0;00efa0ca1b0ab665d1f3d6deacbb156cf797ebdf;2010-06-03T00:26:58+00:00;26.849;27.482;1;0;0;1;0;0;0;0;0;3
google/guava;v4.0;00efa0ca1b0ab665d1f3d6deacbb156cf797ebdf;2010-06-03T00:26:58+00:00;v5.0;1ab3ec73dfcbc91bb989ec9dcb0fea790500eb54;2010-06-03T00:26:58+00:00;27.482;31.571;1;0;0;1;1;2;0;0;3;4
google/guava;v5.0;1ab3ec73dfcbc91bb989ec9dcb0fea790500eb54;2010-06-03T00:26:58+00:00;v6.0;9b62975717d16970f86441a9cb42ba84db33309f;2010-07-08T21:54:56+00:00;31.571;31.688;3;0;0;3;2;3;0;0;5;5
google/guava;v6.0;9b62975717d16970f86441a9cb42ba84db33309f;2010-07-08T21:54:56+00:00;v7.0;13bc6c9bf52aa45fe4371357546b7ca66f317df2;2010-09-22T19:12:43+00:00;31.688;47.076;5;0;0;5;0;3;0;0;3;6
google/guava;v7.0;13bc6c9bf52aa45fe4371357546b7ca66f317df2;2010-09-22T19:12:43+00:00;v8.0;0bb8549ef75fd8a7f367560ade790eae39d9279f;2011-01-31T17:56:14+00:00;47.076;48.815;7;2;0;9;1;2;0;0;3;7
google/guava;v8.0;0bb8549ef75fd8a7f367560ade790eae39d9279f;2011-01-31T17:56:14+00:00;v9.0;28d17c4fafb4d37b3d540e0e76ff8142d2aaad6b;2011-04-08T14:35:37+00:00;48.815;51.146;7;0;0;7;0;0;0;0;0;8
google/guava;v9.0;28d17c4fafb4d37b3d540e0e76ff8142d2aaad6b;2011-04-08T14:35:37+00:00;v10.0;baf008c5a3de60e8399852f23979bf69f2660023;2011-09-27T14:22:36-04:00;51.146;75.856;54;0;0;54;2;4;0;0;6;9
google/guava;v10.0;baf008c5a3de60e8399852f23979bf69f2660023;2011-09-27T14:22:36-04:00;v11.0;5a6bf80c7403d77df18adb41b5b15ea34d28186d;2011-12-17T12:18:18-05:00;75.856;83.783;142;4;1;147;8;28;0;0;36;10
google/guava;v11.0;5a6bf80c7403d77df18adb41b5b15ea34d28186d;2011-12-17T12:18:18-05:00;v12.0;72d281266d52f95bc7df228cd37294c9fa6effe3;2012-04-30T14:04:06-04:00;83.783;90.29;120;3;1;124;10;34;0;0;44;11
google/guava;v12.0;72d281266d52f95bc7df228cd37294c9fa6effe3;2012-04-30T14:04:06-04:00;v13.0;c8511677c7827ab687b7412925ccdae76b6bbff1;2012-08-02T16:19:28-04:00;90.29;96.425;121;5;0;126;3;32;0;0;35;12
google/guava;v13.0;c8511677c7827ab687b7412925ccdae76b6bbff1;2012-08-02T16:19:28-04:00;v14.0;a3c71e0264ee5bf5eebd341c506dda655c3a6356;2013-02-25T13:43:45-05:00;96.425;114.858;242;4;0;246;8;56;0;0;64;13
google/guava;v14.0;a3c71e0264ee5bf5eebd341c506dda655c3a6356;2013-02-25T13:43:45-05:00;v15.0;7ce15119ae3b8ea71bdfd43bd6a0b96f851187d0;2013-09-06T15:34:09-04:00;114.858;136.97;216;0;0;216;10;51;0;1;62;14
google/guava;v15.0;7ce15119ae3b8ea71bdfd43bd6a0b96f851187d0;2013-09-06T15:34:09-04:00;v16.0;2537d1ed4795f8fad737a7bf6d6f93fbdfa28e54;2014-01-17T16:23:13-05:00;136.97;138.846;61;0;0;61;2;18;0;0;20;15
google/guava;v16.0;2537d1ed4795f8fad737a7bf6d6f93fbdfa28e54;2014-01-17T16:23:13-05:00;v17.0;904234dc2f365314c636d29385780faf72db2477;2014-04-22T15:59:22-04:00;138.846;139.623;67;2;0;69;1;16;0;0;17;16
google/guava;v17.0;904234dc2f365314c636d29385780faf72db2477;2014-04-22T15:59:22-04:00;v18.0;798803f026bb9517bcf4e0e9ab2d2e0345023182;2014-08-25T14:39:22-04:00;139.623;139.795;61;1;0;62;4;19;0;2;25;17
google/guava;v18.0;798803f026bb9517bcf4e0e9ab2d2e0345023182;2014-08-25T14:39:22-04:00;v19.0;daa84b68f31898f67a51207e193ee2ddabb088bf;2015-12-09T15:56:41-05:00;139.795;148.071;229;8;0;237;19;61;0;1;81;18
google/guava;v19.0;daa84b68f31898f67a51207e193ee2ddabb088bf;2015-12-09T15:56:41-05:00;v20.0;65f6b4f4b132a051616403bcf74e4034a19d92a1;2016-10-28T16:30:44-04:00;148.071;106.958;328;1;2;331;22;77;0;0;99;19
google/guava;v20.0;65f6b4f4b132a051616403bcf74e4034a19d92a1;2016-10-28T16:30:44-04:00;v21.0;0f025e5d5d39a5d1ab709917f725d48a8464df50;2017-01-12T14:09:51-05:00;106.958;111.641;42;1;0;43;2;22;0;0;24;20
google/guava;v21.0;0f025e5d5d39a5d1ab709917f725d48a8464df50;2017-01-12T14:09:51-05:00;v22.0;7bbdb221feb446cbd38202c133818bc383c413ae;2017-05-22T14:46:19-04:00;111.641;145.407;114;0;0;114;4;21;0;0;25;21
google/guava;v22.0;7bbdb221feb446cbd38202c133818bc383c413ae;2017-05-22T14:46:19-04:00;v23.0;b48cdeb618388a7b1d1c782e1ce2cc60b4f4efca;2017-08-04T16:30:56-04:00;145.407;148.777;62;1;0;63;1;20;0;0;21;22
google/guava;v23.0;b48cdeb618388a7b1d1c782e1ce2cc60b4f4efca;2017-08-04T16:30:56-04:00;v24.0;cebf66be35cceb2c04990805f127506b2197fe33;2018-02-01T15:16:14-05:00;148.777;157.994;125;0;0;125;8;38;0;0;46;23
google/guava;v24.0;cebf66be35cceb2c04990805f127506b2197fe33;2018-02-01T15:16:14-05:00;v25.0;0819c57c91b3ba2695a792b828ae239258681a3e;2018-04-25T18:12:31-04:00;157.994;159.452;29;1;0;30;0;7;0;0;7;24
google/guava;v25.0;0819c57c91b3ba2695a792b828ae239258681a3e;2018-04-25T18:12:31-04:00;v26.0;bbf9295088d668c06e573cea03f01375985c1814;2018-08-01T17:39:54-04:00;159.452;190.762;25;0;0;25;0;10;0;0;10;25
google/guava;v26.0;bbf9295088d668c06e573cea03f01375985c1814;2018-08-01T17:39:54-04:00;v27.0;a35bfd9ea855539354b783ee74839e384f7af98a;2018-10-18T14:07:14-04:00;190.762;191.518;24;0;0;24;1;5;0;0;6;26
google/guava;v27.0;a35bfd9ea855539354b783ee74839e384f7af98a;2018-10-18T14:07:14-04:00;v28.0;9957203c956016b485696ce9d1a4d60f1019c5fd;2019-06-11T19:05:47-04:00;191.518;194.118;51;0;0;51;1;16;0;0;17;27
